
##########  RSMA  ##########

Initial Conditions: R1p 9.38389112, R2p 9.28296155, R1c 0.71060783, R2c 0.69910493, Rov = 19.36595759, ||Pc|| 16.00000000, ||Pk|| 64.00000000
opt value: 1509.46077108 at  53, PS gt1    0, R1p 9.61969783, R2p 9.50121712, R1c 0.66997442, R2c 0.66986919, Rov = 19.79078414
opt value: 1509.34975491 at  54, PS gt1    0, R1p 9.61969747, R2p 9.50121813, R1c 0.66997476, R2c 0.66986926, Rov = 19.79078486
opt value: 1509.38501265 at  55, PS gt1    0, R1p 9.61969711, R2p 9.50121915, R1c 0.66997512, R2c 0.66986934, Rov = 19.79078561
opt value: 1509.40752028 at  56, PS gt1    0, R1p 9.61969676, R2p 9.50122015, R1c 0.66997546, R2c 0.66986941, Rov = 19.79078632
opt value: 1509.39092850 at  57, PS gt1    0, R1p 9.61969641, R2p 9.50122115, R1c 0.66997580, R2c 0.66986948, Rov = 19.79078704
opt value: 1509.39965289 at  58, PS gt1    0, R1p 9.61969605, R2p 9.50122215, R1c 0.66997613, R2c 0.66986954, Rov = 19.79078775
opt value: 1509.38645879 at  59, PS gt1    0, R1p 9.61969569, R2p 9.50122317, R1c 0.66997648, R2c 0.66986962, Rov = 19.79078848
opt value: 1509.40615930 at  60, PS gt1    0, R1p 9.61969533, R2p 9.50122418, R1c 0.66997681, R2c 0.66986968, Rov = 19.79078919
opt value: 1509.41923024 at  61, PS gt1    0, R1p 9.61969500, R2p 9.50122514, R1c 0.66997710, R2c 0.66986972, Rov = 19.79078985
opt value: 1509.37240965 at  62, PS gt1    0, R1p 9.61969463, R2p 9.50122616, R1c 0.66997744, R2c 0.66986979, Rov = 19.79079058
opt value: 1509.39791640 at  63, PS gt1    0, R1p 9.61969427, R2p 9.50122718, R1c 0.66997778, R2c 0.66986985, Rov = 19.79079130
opt value: 1509.43574090 at  64, PS gt1    0, R1p 9.61969393, R2p 9.50122813, R1c 0.66997805, R2c 0.66986988, Rov = 19.79079195
opt value: 1509.36531092 at  65, PS gt1    0, R1p 9.61969357, R2p 9.50122914, R1c 0.66997839, R2c 0.66986995, Rov = 19.79079266
opt value: 1509.38673968 at  66, PS gt1    0, R1p 9.61969320, R2p 9.50123018, R1c 0.66997874, R2c 0.66987002, Rov = 19.79079339
opt value: 1509.38621228 at  67, PS gt1    0, R1p 9.61969281, R2p 9.50123124, R1c 0.66997912, R2c 0.66987010, Rov = 19.79079415
opt value: 1509.43142048 at  68, PS gt1    0, R1p 9.61969246, R2p 9.50123223, R1c 0.66997943, R2c 0.66987015, Rov = 19.79079484
opt value: 1509.42692694 at  69, PS gt1    0, R1p 9.61969212, R2p 9.50123319, R1c 0.66997970, R2c 0.66987018, Rov = 19.79079549
opt value: 1509.37423316 at  70, PS gt1    0, R1p 9.61969176, R2p 9.50123419, R1c 0.66998002, R2c 0.66987023, Rov = 19.79079618
opt value: 1509.39851202 at  71, PS gt1    0, R1p 9.61969140, R2p 9.50123519, R1c 0.66998033, R2c 0.66987028, Rov = 19.79079688
opt value: 1509.43313641 at  72, PS gt1    0, R1p 9.61969107, R2p 9.50123614, R1c 0.66998059, R2c 0.66987031, Rov = 19.79079752
opt value: 1509.38458311 at  73, PS gt1    0, R1p 9.61969072, R2p 9.50123711, R1c 0.66998089, R2c 0.66987035, Rov = 19.79079819
opt value: 1509.41447830 at  74, PS gt1    0, R1p 9.61969038, R2p 9.50123808, R1c 0.66998116, R2c 0.66987038, Rov = 19.79079884
opt value: 1509.39726773 at  75, PS gt1    0, R1p 9.61969004, R2p 9.50123905, R1c 0.66998145, R2c 0.66987042, Rov = 19.79079950
opt value: 1509.37446810 at  76, PS gt1    0, R1p 9.61968967, R2p 9.50124007, R1c 0.66998178, R2c 0.66987047, Rov = 19.79080021
opt value: 1509.42992245 at  77, PS gt1    0, R1p 9.61968932, R2p 9.50124104, R1c 0.66998206, R2c 0.66987051, Rov = 19.79080087
opt value: 1509.39620669 at  78, PS gt1    0, R1p 9.61968897, R2p 9.50124202, R1c 0.66998236, R2c 0.66987055, Rov = 19.79080154
opt value: 1509.39986588 at  79, PS gt1    0, R1p 9.61968861, R2p 9.50124301, R1c 0.66998266, R2c 0.66987059, Rov = 19.79080222
opt value: 1509.41052999 at  80, PS gt1    0, R1p 9.61968826, R2p 9.50124399, R1c 0.66998295, R2c 0.66987063, Rov = 19.79080289
opt value: 1509.38449874 at  81, PS gt1    0, R1p 9.61968789, R2p 9.50124501, R1c 0.66998326, R2c 0.66987068, Rov = 19.79080358
opt value: 1509.40621993 at  82, PS gt1    0, R1p 9.61968753, R2p 9.50124601, R1c 0.66998357, R2c 0.66987073, Rov = 19.79080427
opt value: 1509.42577919 at  83, PS gt1    0, R1p 9.61968718, R2p 9.50124698, R1c 0.66998386, R2c 0.66987076, Rov = 19.79080493
opt value: 1509.39000367 at  84, PS gt1    0, R1p 9.61968682, R2p 9.50124798, R1c 0.66998416, R2c 0.66987081, Rov = 19.79080561
opt value: 1509.41455609 at  85, PS gt1    0, R1p 9.61968647, R2p 9.50124896, R1c 0.66998445, R2c 0.66987084, Rov = 19.79080627
opt value: 1509.38441464 at  86, PS gt1    0, R1p 9.61968610, R2p 9.50124998, R1c 0.66998476, R2c 0.66987089, Rov = 19.79080696
opt value: 1509.43696724 at  87, PS gt1    0, R1p 9.61968575, R2p 9.50125093, R1c 0.66998503, R2c 0.66987092, Rov = 19.79080761
opt value: 1509.34170960 at  88, PS gt1    0, R1p 9.61968535, R2p 9.50125202, R1c 0.66998540, R2c 0.66987099, Rov = 19.79080836
opt value: 1509.46990443 at  89, PS gt1    0, R1p 9.61968500, R2p 9.50125298, R1c 0.66998567, R2c 0.66987102, Rov = 19.79080900
opt value: 1509.41579010 at  90, PS gt1    0, R1p 9.61968466, R2p 9.50125393, R1c 0.66998593, R2c 0.66987104, Rov = 19.79080963
opt value: 1509.40357418 at  91, PS gt1    0, R1p 9.61968432, R2p 9.50125488, R1c 0.66998619, R2c 0.66987106, Rov = 19.79081027
opt value: 1509.39190856 at  92, PS gt1    0, R1p 9.61968397, R2p 9.50125586, R1c 0.66998647, R2c 0.66987110, Rov = 19.79081092
opt value: 1509.41448983 at  93, PS gt1    0, R1p 9.61968362, R2p 9.50125683, R1c 0.66998675, R2c 0.66987112, Rov = 19.79081157
opt value: 1509.40101506 at  94, PS gt1    0, R1p 9.61968327, R2p 9.50125780, R1c 0.66998703, R2c 0.66987116, Rov = 19.79081223
opt value: 1509.41555357 at  95, PS gt1    0, R1p 9.61968292, R2p 9.50125877, R1c 0.66998730, R2c 0.66987119, Rov = 19.79081287
opt value: 1509.40537506 at  96, PS gt1    0, R1p 9.61968256, R2p 9.50125975, R1c 0.66998759, R2c 0.66987122, Rov = 19.79081353
opt value: 1509.41876504 at  97, PS gt1    0, R1p 9.61968222, R2p 9.50126070, R1c 0.66998785, R2c 0.66987124, Rov = 19.79081416
opt value: 1509.34082411 at  98, PS gt1    0, R1p 9.61968181, R2p 9.50126178, R1c 0.66998821, R2c 0.66987131, Rov = 19.79081490
opt value: 1509.47224482 at  99, PS gt1    0, R1p 9.61968147, R2p 9.50126274, R1c 0.66998848, R2c 0.66987133, Rov = 19.79081554
opt value: 1509.41627055 at 100, PS gt1    0, R1p 9.61968112, R2p 9.50126370, R1c 0.66998874, R2c 0.66987136, Rov = 19.79081618
opt value: 1509.41561933 at 101, PS gt1    0, R1p 9.61968078, R2p 9.50126465, R1c 0.66998900, R2c 0.66987138, Rov = 19.79081680
opt value: 1509.45780348 at 102, PS gt1    0, R1p 9.61968048, R2p 9.50126551, R1c 0.66998920, R2c 0.66987138, Rov = 19.79081737
opt value: 1509.35832805 at 103, PS gt1    0, R1p 9.61968013, R2p 9.50126648, R1c 0.66998947, R2c 0.66987140, Rov = 19.79081801
opt value: 1509.40603866 at 104, PS gt1    0, R1p 9.61967977, R2p 9.50126745, R1c 0.66998974, R2c 0.66987143, Rov = 19.79081866
opt value: 1509.44246533 at 105, PS gt1    0, R1p 9.61967944, R2p 9.50126838, R1c 0.66998999, R2c 0.66987145, Rov = 19.79081927
opt value: 1509.39288923 at 106, PS gt1    0, R1p 9.61967910, R2p 9.50126933, R1c 0.66999025, R2c 0.66987147, Rov = 19.79081990
opt value: 1509.46607135 at 107, PS gt1    0, R1p 9.61967880, R2p 9.50127019, R1c 0.66999044, R2c 0.66987147, Rov = 19.79082045
opt value: 1509.37298655 at 108, PS gt1    0, R1p 9.61967846, R2p 9.50127113, R1c 0.66999069, R2c 0.66987149, Rov = 19.79082107
opt value: 1509.40060251 at 109, PS gt1    0, R1p 9.61967811, R2p 9.50127208, R1c 0.66999095, R2c 0.66987151, Rov = 19.79082170
