
##########  RSMA  ##########

Initial Conditions: R1p 9.38389112, R2p 9.28296155, R1c 0.71060783, R2c 0.69910493, Rov = 19.36595759, ||Pc|| 16.00000000, ||Pk|| 64.00000000
opt value: 1509.56068457 at  81, PS gt1    0, R1p 9.61946409, R2p 9.50176821, R1c 0.67010504, R2c 0.66986968, Rov = 19.79110198
opt value: 1509.55544599 at  82, PS gt1    0, R1p 9.61946117, R2p 9.50177404, R1c 0.67010647, R2c 0.66986974, Rov = 19.79110496
opt value: 1509.55244711 at  83, PS gt1    0, R1p 9.61945826, R2p 9.50177984, R1c 0.67010789, R2c 0.66986981, Rov = 19.79110791
opt value: 1509.55946152 at  84, PS gt1    0, R1p 9.61945536, R2p 9.50178561, R1c 0.67010931, R2c 0.66986987, Rov = 19.79111084
opt value: 1509.55784805 at  85, PS gt1    0, R1p 9.61945245, R2p 9.50179137, R1c 0.67011073, R2c 0.66986994, Rov = 19.79111376
opt value: 1509.56422297 at  86, PS gt1    0, R1p 9.61944956, R2p 9.50179707, R1c 0.67011213, R2c 0.66987001, Rov = 19.79111664
opt value: 1509.56524622 at  87, PS gt1    0, R1p 9.61944667, R2p 9.50180275, R1c 0.67011352, R2c 0.66987007, Rov = 19.79111949
opt value: 1509.55902222 at  88, PS gt1    0, R1p 9.61944377, R2p 9.50180844, R1c 0.67011493, R2c 0.66987014, Rov = 19.79112234
opt value: 1509.56564203 at  89, PS gt1    0, R1p 9.61944113, R2p 9.50181372, R1c 0.67011619, R2c 0.66987020, Rov = 19.79112506
opt value: 1509.56766609 at  90, PS gt1    0, R1p 9.61943825, R2p 9.50181934, R1c 0.67011757, R2c 0.66987027, Rov = 19.79112786
opt value: 1509.56664903 at  91, PS gt1    0, R1p 9.61943536, R2p 9.50182493, R1c 0.67011895, R2c 0.66987034, Rov = 19.79113063
opt value: 1509.57278191 at  92, PS gt1    0, R1p 9.61943256, R2p 9.50183039, R1c 0.67012029, R2c 0.66987040, Rov = 19.79113335
opt value: 1509.57858800 at  93, PS gt1    0, R1p 9.61942967, R2p 9.50183594, R1c 0.67012166, R2c 0.66987047, Rov = 19.79113608
opt value: 1509.56954905 at  94, PS gt1    0, R1p 9.61942677, R2p 9.50184151, R1c 0.67012303, R2c 0.66987053, Rov = 19.79113881
opt value: 1509.57222973 at  95, PS gt1    0, R1p 9.61942393, R2p 9.50184696, R1c 0.67012437, R2c 0.66987059, Rov = 19.79114149
opt value: 1509.57034908 at  96, PS gt1    0, R1p 9.61942112, R2p 9.50185237, R1c 0.67012570, R2c 0.66987066, Rov = 19.79114414
opt value: 1509.57094867 at  97, PS gt1    0, R1p 9.61941831, R2p 9.50185773, R1c 0.67012702, R2c 0.66987073, Rov = 19.79114678
opt value: 1509.58433015 at  98, PS gt1    0, R1p 9.61941555, R2p 9.50186302, R1c 0.67012831, R2c 0.66987080, Rov = 19.79114937
opt value: 1509.57375803 at  99, PS gt1    0, R1p 9.61941271, R2p 9.50186841, R1c 0.67012964, R2c 0.66987087, Rov = 19.79115198
opt value: 1509.58630076 at 100, PS gt1    0, R1p 9.61940989, R2p 9.50187374, R1c 0.67013095, R2c 0.66987093, Rov = 19.79115456
opt value: 1509.57533575 at 101, PS gt1    0, R1p 9.61940711, R2p 9.50187900, R1c 0.67013224, R2c 0.66987100, Rov = 19.79115711
opt value: 1509.58124361 at 102, PS gt1    0, R1p 9.61940434, R2p 9.50188422, R1c 0.67013353, R2c 0.66987107, Rov = 19.79115963
opt value: 1509.58099137 at 103, PS gt1    0, R1p 9.61940159, R2p 9.50188941, R1c 0.67013480, R2c 0.66987114, Rov = 19.79116213
opt value: 1509.57836474 at 104, PS gt1    0, R1p 9.61939882, R2p 9.50189460, R1c 0.67013608, R2c 0.66987121, Rov = 19.79116463
opt value: 1509.58792499 at 105, PS gt1    0, R1p 9.61939609, R2p 9.50189973, R1c 0.67013734, R2c 0.66987127, Rov = 19.79116709
opt value: 1509.58259277 at 106, PS gt1    0, R1p 9.61939346, R2p 9.50190469, R1c 0.67013854, R2c 0.66987134, Rov = 19.79116950
opt value: 1509.58278434 at 107, PS gt1    0, R1p 9.61939075, R2p 9.50190976, R1c 0.67013979, R2c 0.66987142, Rov = 19.79117192
opt value: 1509.58640166 at 108, PS gt1    0, R1p 9.61938801, R2p 9.50191483, R1c 0.67014104, R2c 0.66987149, Rov = 19.79117433
opt value: 1509.58713680 at 109, PS gt1    0, R1p 9.61938530, R2p 9.50191987, R1c 0.67014228, R2c 0.66987156, Rov = 19.79117673
opt value: 1509.59070186 at 110, PS gt1    0, R1p 9.61938260, R2p 9.50192486, R1c 0.67014351, R2c 0.66987163, Rov = 19.79117909
opt value: 1509.58023605 at 111, PS gt1    0, R1p 9.61937986, R2p 9.50192991, R1c 0.67014478, R2c 0.66987171, Rov = 19.79118149
opt value: 1509.60851929 at 112, PS gt1    0, R1p 9.61937727, R2p 9.50193474, R1c 0.67014595, R2c 0.66987178, Rov = 19.79118378
opt value: 1509.59089797 at 113, PS gt1    0, R1p 9.61937461, R2p 9.50193963, R1c 0.67014715, R2c 0.66987185, Rov = 19.79118609
opt value: 1509.59175381 at 114, PS gt1    0, R1p 9.61937197, R2p 9.50194449, R1c 0.67014834, R2c 0.66987192, Rov = 19.79118838
opt value: 1509.59624607 at 115, PS gt1    0, R1p 9.61936940, R2p 9.50194922, R1c 0.67014950, R2c 0.66987199, Rov = 19.79119062
opt value: 1509.59423032 at 116, PS gt1    0, R1p 9.61936673, R2p 9.50195410, R1c 0.67015070, R2c 0.66987206, Rov = 19.79119289
